"Subsystem / Component
Description"	Function	Potential Failure Mode	Potential Effects of Failure	Severity	Potential Cause of Failure	"Occurrence
Probability"	Control Method	Detection	RPN	Recommended Action
Top Roller	Housing for springs that provide pressure to the MPHX plates when adhesive is being applied 	Too much/too little pressure	Weak glue joints (poor glue distribution i.e. glue flowing into channels or not enough glue applied) 	4	Too much/too little spring compression in top roller housing 	4	Do test sample to determine glue distribution	8	128	Increase or reduce number of spacers pushing down on the springs
Adhesive 	Adhesion	Cure time takes longer than expected	The longer cure time leads to more time between 	4	Glue less chemically compatible with plate due to materials changes	4	Requires a full wet run with subsequent testing	7	112	
MPHX Jig 	Shim Stock/super glue	The glue connecting the shim stock to the MPHX jig may be deteriorated due to the fumes from the MEK	The shim stock will disconnect from the front of the MPHX plate jig leaving the plate subject to movement and inability to be glued	8	The material/ chemical incompatibiltity	6	Detectible after running the system (visible)	2	96	Use a different adhesive to connect the shim stock
Jig M3 Button Head Screws	Hold the shim stock on either side of the MPHX and Lamina Jigs	Jig catching in feed	Need to realign jig in feed and possibly start new batch of modules	7	Screw heads catching on edges of feed rails	6	Swap button head screws with flat head screws or modify the feed rails so they are continuous and do not have an edge for the jig to catch on	2	84	Swap button head screws for flat heads
MPHX and Lamina Jig	The jigs are used to hold the assembled and unassembled modules during the application systems 	The 3D printed jigs may deteriorate due to the fumes and/or contact with/from the adhesive over time	Need to reprint/clean jigs, significant time loss	7	Overapplication/inaccuracy of glue application	6	Visual analysis 	2	84	Check the material properties of the current (as well as other 3d printable) filaments and their compatibility with the glue selected
MPHX and Lamina Jig	The jigs are used to hold the assembled and unassembled modules during the application systems 	The dovetail pattern connecting the two jigs may not be a secure way to hold the two halves of each jig together due to external forces on the connections	Need to reprint/redesign jigs, significant time loss	7	Inability to hold MPHX plate while gluing/ while under pressure	6	Visual/physical analysis	2	84	Reinforce the jigs so that they have shim stock along any parts that are connected
Roller Motor	Provides mechanical power to rotate adhesive-application roller bar	Motor burnout	Roller no longer turns --> no more glue application possible + motor replacement needed	7	Mechanical resistance due to adhesive thickening exceeds motor capacity	3	We will be doing tests to determine adhesive thickening rates and how to prevent it; it will be obvious when the bar is no longer spinning when the power is on	4	84	Prevent adhesive from thickening by adding solvent to the pot
AC/DC Power Converter	Convert power from electrical socket to usable power for the speed controller	Sparks from wire connection points	Sparks or damage to other electrical components that can lead to arcs or short circuits	7	Power surges through the system or improperly secured wire connections between the speed controller and AC/DC power converter	3	"Make sure all wires connecting components are secure and undamaged
Use surge protectors on the associated outlet to prevent power surges from going through the system"	3	63	Testing: test to make sure wire connection points are secure
Adhesive 	Adhesion	Insufficient glue application	Each plate requires multiple passes, significantly increasing time per plate and decreasing plates per vat.	3	Insufficient traction of roller or poor viscosity of glue	3	May be difficult to detect until samples are glued; viscosity based mitigations easy but roller design mitigations difficult	7	63	
 Top Roller	Housing for springs that provide pressure to the MPHX plates when adhesive is being applied 	Solvent wear	Need to 3D print new housing	5	Solvent degrading the PETG	6	Potential way to limit exposure is apply a coating to the plastic to prevent the solvent fumes from penetrating the housing. No matter what there will be exposure. 	2	60	Potential way to limit exposure is apply a coating to the plastic to prevent the solvent fumes from penetrating the housing. No matter what there will be exposure. 
Lamina Jig	Holds the lamina for lamina and plate adhesion	The alignment ridges on the lamina jig do not hold the lamina/allow slippage do to excessive usage	Need to reprint or redesign the jig	7	Incorrect lamina and MPHX alignment	4	Visual analysis/physical testing	2	56	Edit the jig CAD's to either allow the ridges to sit within the MPHX jig or shorten the length of the shim stock to prevent interference
MPHX Jig 	The jig is used to hold the MPHX plate during the gluing and lamina application processes	The 3d printed jig flexes/bows during the lamina application/curing process	Need to reprint MPHX jigs	5	Overuse/material decay over time	3	Visually checking the MPHX jigs after stacking	3	45	Test to see how many usages a jig can go through before deformation occurs
Electrical Wire Connections	Create a path for electricity to travel between components	Improper securing of wire connection points	Inconsistent/ no power moving through the system --> motor doesn't receive enough power to turn the roller	6	Improper assembly of electrical components	3	Manipulate wire connection points to ensure secure connection	2	36	
Roller Bearing Block 	Bearing to make axle spin 	Wear 	Possible need to remanufacture 	5	Frictional wear 	2	Visual inspection of wear 	3	30	Lubricate (can see with a eyes if there is wear) 
Feed bearings	To move the jig plates through the glue applicator	Misalignment of bearings locations vertically	Uneven support for jig, offset approach angle for jig into roller	3	Incorrect assembly, poor adjusting, not meeting tolerances	5	Somewhat easily detected by measuring angles and checking alignment	2	30	Tighten tolerances for bearing placement, create better procedure to ensure that feed plates are properly leveled.
IEC Connector 	Connects to the AC/DC converter and allows power from outlet to power the motor 	Fuse Blows 	Need to replace fuse 	5	To much current 	3	Test circuit beforehand	2	30	
Roller	Applies glue to plate, and uses friction to pull the plate along	Plate is not pulled through properly, causing jig to stop/stutter	Uneven/over application of glue	9	Knurling on rollers becomes worn down/kurling is not deep enough. Alternatively, glue within the knurling cures, reducing the depth of the groves	3	It will be visually obvious that the jig is no longer moving	1	27	First, increase the top roller pressure to increase the friction force clean rollers. If cleaning the rollers does not fix this, the roller may need to re-machined
FeedSupport Bars	Bearings provide contact surface for jig before and after it passes through the roller.	Support Bars, fastened using friction nuts, can become loose 	Bars loose set vertical alignment with the roller, causing the jig to enter/leave the roller at an angle	4	Repeated impacts or vibration to support bars	2	By marking the set distances, visual inspection can reveal when the support bars have moved. Additionally, properly torquing and using lock tight can ensure the screw does not become loose	3	24	
All steel screws and fasteners	Hold 2 or more parts together	Chemical corrosion	System adjustment becomes difficult adjust	3	Exposure to glueing adhesive 	4	Can be found through visual inspection	2	24	
Feed Rubber Traction Feet	Create a level surface on which to operate the device and prevent system from moving on the workspace	Wear over time/ possible breakage of rubber component	Non-level system support and increased probability for manufacturing errors	2	Movement of system by operator during assembly/ operation can put pressure on the sides of the rubber attachments	2	It will be obvious if traction points are damaged and in need of replacement	1	4	
